1	=A1+1	=B1+1	=C1+1	=D1+1	=E1+1	=F1+1	=G1+1	=H1+1	=I1+1	=J1+1	=K1+1	=L1+1	=M1+1	=N1+1	=O1+1	=P1+1	=Q1+1	=R1+1	=S1+1	=T1+1	=U1+1	=V1+1	=W1+1	=X1+1	=Y1+1	=Z1+1	=AA1+1	=AB1+1	=AC1+1	=AD1+1	=AE1+1	=AF1+1	=AG1+1	=AH1+1	=AI1+1	=AJ1+1	=AK1+1	=AL1+1	=AM1+1	=AN1+1	=AO1+1	=AP1+1	=AQ1+1	=AR1+1	=AS1+1	=AT1+1	=AU1+1	=AV1+1	=AW1+1	=AX1+1
転記コード	分類	団体コード	年度	会計コード	会計名称	款コード	款名称	所属コード	所属部名称	所属課名称	所属係名称	項コード	項名称	目コード	目名称	大事業コード	大事業名称	中事業コード	中事業名称	小事業コード	小事業名称	施策コード	施策名称大	施策名称中	前年度最終予算額	今年度予算額	補正前予算額	今回補正額	補正後額	前々年度決算額	前年度決算額	今年度決算額	財源内訳内訳（国庫支出金）	財源内訳内訳（県支出金）	財源内訳内訳（市債）	財源内訳内訳（分担金・負担金）	財源内訳内訳（使用料・手数料）	財源内訳内訳（その他）	翌年度繰越額	目的	問題点・課題等	節コード（頭2桁）	節名称	節金額	節コード	細々節名称	細々節金額	積算内容	節金額2	細々節金額2
=D61&R61&AU61	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	5	道路舗装新設等事業（単独分）	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	10400	11300	0	0	0	0	0	0	0	0	0	0	0	0	0	地域の安全安心な住み良いまちづくりのための道路舗装新設に伴う経費。	安全安心な生活を確保するためインフラ整備に努める。＠＄改行＄＠土木担当からの要望を基に優先順位をつけ予算内で工事を行っていく必要がある。	14	工事請負費	10000	140101	工事請負費	10000	　①井尻野支線３００１号道　　2,000,000円　　資料１５　　②下林支線３１７２号道　　1,500,000円　　　資料１３　　③窪木支線３０３３号道　　6,000,000円　　　資料１６　　④上林	=予算!$AS61*1000	=予算!$AV61*1000
=D62&R62&AU62	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	15	東総社駅前泉本線改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	80000	223120	0	0	0	0	0	0	100000	0	90000	0	0	0	0	泉地区から国道180号総社・一宮バイパスを経由してJR桃太郎線東総社駅を結ぶ南北道の整備。	事業地内は神明遺跡に位置するため，文化財保護法第94条に基づき発掘調査をする必要がある。大規模な道路工事となるため，事業の長期化が懸念される。	12	委託料	220	121501	設計等委託料	220	『R7実計内示A』、『臨時的経費』　　資料１７　　（単市分）鑑定委託　220,000円	=予算!$AS62*1000	=予算!$AV62*1000
=D63&R63&AU63	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	15	東総社駅前泉本線改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	80000	223120	0	0	0	0	0	0	100000	0	90000	0	0	0	0	泉地区から国道180号総社・一宮バイパスを経由してJR桃太郎線東総社駅を結ぶ南北道の整備。	事業地内は神明遺跡に位置するため，文化財保護法第94条に基づき発掘調査をする必要がある。大規模な道路工事となるため，事業の長期化が懸念される。	14	工事請負費	210000	140101	工事請負費	210000	『R7実計内示A』、『臨時的経費』　　資料１７　　本線（補助）　200,000,000円　　本線（単市）　10,000,000円　（歳入）社会資本整備総合交付金（本線分）200,000千円×50％＝1	=予算!$AS63*1000	=予算!$AV63*1000
=D64&R64&AU64	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	15	東総社駅前泉本線改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	80000	223120	0	0	0	0	0	0	100000	0	90000	0	0	0	0	泉地区から国道180号総社・一宮バイパスを経由してJR桃太郎線東総社駅を結ぶ南北道の整備。	事業地内は神明遺跡に位置するため，文化財保護法第94条に基づき発掘調査をする必要がある。大規模な道路工事となるため，事業の長期化が懸念される。	16	公有財産購入費	12800	160201	土地購入費	12800	『R7実計内示A』、『臨時的経費』　　資料１７　　（単市分）アクセス道路用地費　12,800,000円	=予算!$AS64*1000	=予算!$AV64*1000
=D65&R65&AU65	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	15	東総社駅前泉本線改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	80000	223120	0	0	0	0	0	0	100000	0	90000	0	0	0	0	泉地区から国道180号総社・一宮バイパスを経由してJR桃太郎線東総社駅を結ぶ南北道の整備。	事業地内は神明遺跡に位置するため，文化財保護法第94条に基づき発掘調査をする必要がある。大規模な道路工事となるため，事業の長期化が懸念される。	21	補償，補填及び賠償金	100	210101	補償費	100	『R7実計内示A』、『臨時的経費』　　資料１７　　（単市分）アクセス道路補償費　100,000円	=予算!$AS65*1000	=予算!$AV65*1000
=D66&R66&AU66	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	23	（仮称）神在秦本線改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	90020	147510	0	0	0	0	0	0	63340	0	57000	0	0	0	0	市道清音神在本線と県道宍粟真備線を結ぶ南北道の整備。	地域間のアクセス向上により，市道清音神在本線の事業効果が高まる。	12	委託料	330	121501	設計等委託料	330	『R7実計内示A』、『臨時的経費』　秦中央本線　　資料１８　　（単市分）鑑定委託　330,000円	=予算!$AS66*1000	=予算!$AV66*1000
=D67&R67&AU67	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	23	（仮称）神在秦本線改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	90020	147510	0	0	0	0	0	0	63340	0	57000	0	0	0	0	市道清音神在本線と県道宍粟真備線を結ぶ南北道の整備。	地域間のアクセス向上により，市道清音神在本線の事業効果が高まる。	14	工事請負費	144680	140101	工事請負費	144680	『R7実計内示A』、『臨時的経費』　秦中央本線　　資料１８　　（補助分）133,700,000円　　（単市分）18,000,000円　（歳入）社会資本整備総合交付金　補助対象事業費140,000千円×	=予算!$AS67*1000	=予算!$AV67*1000
=D68&R68&AU68	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	23	（仮称）神在秦本線改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	90020	147510	0	0	0	0	0	0	63340	0	57000	0	0	0	0	市道清音神在本線と県道宍粟真備線を結ぶ南北道の整備。	地域間のアクセス向上により，市道清音神在本線の事業効果が高まる。	21	補償，補填及び賠償金	2500	210101	補償費	2500	『R7実計内示A』、『臨時的経費』　秦中央本線　　資料１８　　（単市分）電柱移転（３本）　2,500,000円	=予算!$AS68*1000	=予算!$AV68*1000
=D69&R69&AU69	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	10	需用費	3287	100201	燃料費	187	年1回、1日10時間稼働を想定　　秦ポンプ場　450L×155.19円＝　　美袋ポンプ場　750L×155.19円＝	=予算!$AS69*1000	=予算!$AV69*1000
=D70&R70&AU70	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	10	需用費	3287	100501	光熱水費	1600	秦地区排水機場　107,000円×12月≒1,280,000円　1,280,000円　美袋地区排水機場　25,000円×12月＝　井手川ポンプ　6/１～9/30使用分　　5,000円×4か月分	=予算!$AS70*1000	=予算!$AV70*1000
