1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'13	'91	'02	土木費	土木管理費	土木総務費	土木一般経費			使用料及び賃借料	その他使用料及び賃借料	情報交換システム等使用料	9,000	0	9,000	0	8,800	200	97.8
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'00	'00	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金			2,390,000	0	2,390,000	0	2,379,440	10,560	99.6
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'00	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金		2,390,000	0	2,390,000	0	2,379,440	10,560	99.6
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'50	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	日本道路協会負担金	30,000	0	30,000	0	30,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'51	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	岡山県市町村道整備促進期成同盟会負担金	14,000	0	14,000	0	14,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'53	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	高梁川改修促進協議会負担金	104,000	0	104,000	0	104,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'56	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	中国国道協会負担金	60,000	0	60,000	0	60,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'60	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	国道４８６号整備促進岡山県期成会負担金	30,000	0	30,000	0	30,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'64	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	倉敷船穂真備総社線建設促進期成会負担金	12,000	0	12,000	0	12,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'69	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	岡山県土木協会会費	50,000	0	50,000	0	50,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'70	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	一般国道１８０号岡山県整備促進期成会負担金	55,000	0	55,000	0	55,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'71	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	国道４２９号道路整備促進期成会負担金	30,000	0	30,000	0	30,000	0	100
