1	2		4						10													23	24	25	26	27	28	29	30	31	32								※予算流用があった際はこの表を直接編集（編集後は赤字）					
転記コード	年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率							
R6道路舗装新設等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	05	00	00	14	01	00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			工事請負費	工事請負費		10,000,000													
R6道路舗装新設等事業（単独分）工事請負費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	05	00	00	14	01	01	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			工事請負費	工事請負費	工事請負費	10,000,000													
R6清音神在本線周辺整備事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	10	00	00	00	00	00	土木費	道路橋りょう費	道路新設改良費	清音神在本線周辺整備事業						5,000,000													
R6清音神在本線周辺整備事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	10	00	00	14	00	00	土木費	道路橋りょう費	道路新設改良費	清音神在本線周辺整備事業			工事請負費			5,000,000													
R6清音神在本線周辺整備事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	10	00	00	14	01	00	土木費	道路橋りょう費	道路新設改良費	清音神在本線周辺整備事業			工事請負費	工事請負費		5,000,000													
R6清音神在本線周辺整備事業工事請負費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	10	00	00	14	01	01	土木費	道路橋りょう費	道路新設改良費	清音神在本線周辺整備事業			工事請負費	工事請負費	工事請負費	5,000,000													
R6元町井手本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	13	00	00	00	00	00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業						97,000,000													
R6元町井手本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	13	00	00	14	00	00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			工事請負費			89,000,000													
R6元町井手本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	13	00	00	14	01	00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			工事請負費	工事請負費		89,000,000													
R6元町井手本線改良事業工事請負費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	13	00	00	14	01	01	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			工事請負費	工事請負費	工事請負費	89,000,000													
